,description,project,duration,expected_duration,started_at,ended_at,project_hex_color
61,40min/今回関わる部分の理解,インターン,3612,2400.0,2019-05-22T11:00:03+09:00,2019-05-22T12:00:15+09:00,#205500
62,40min/新たなタスクの説明受ける,インターン,3310,2400.0,2019-05-22T10:00:30+09:00,2019-05-22T10:55:40+09:00,#205500
63,20min/スピーキング6問,院留学,1896,1200.0,2019-05-22T08:23:02+09:00,2019-05-22T08:54:38+09:00,#04bb9b
64,120min/情報数理科学2,大学課題,1453,7200.0,2019-05-21T23:09:03+09:00,2019-05-21T23:33:16+09:00,#06aaf5
65,120min/情報数理科学2,大学課題,5012,7200.0,2019-05-21T21:41:31+09:00,2019-05-21T23:05:03+09:00,#06aaf5
66,ゲームする,休憩,465,,2019-05-21T21:33:45+09:00,2019-05-21T21:41:30+09:00,#fb8b14
67,120min/情報数理科学2,大学課題,13649,7200.0,2019-05-21T17:44:21+09:00,2019-05-21T21:31:50+09:00,#06aaf5
68,120min/情報数理科学2,大学課題,1440,7200.0,2019-05-21T17:09:20+09:00,2019-05-21T17:33:20+09:00,#06aaf5
69,ゲームする,休憩,655,,2019-05-21T16:56:28+09:00,2019-05-21T17:07:23+09:00,#fb8b14
70,120min/情報工学3,大学課題,6454,7200.0,2019-05-21T15:08:28+09:00,2019-05-21T16:56:02+09:00,#06aaf5
71,60min/mates、Slack認証つける,エンジニアリング,906,3600.0,2019-05-21T14:29:35+09:00,2019-05-21T14:44:41+09:00,#3750b5
72,10min/VSCodeの設定,エンジニアリング,1160,600.0,2019-05-21T13:57:51+09:00,2019-05-21T14:17:11+09:00,#3750b5
73,60min/AtCoderやる,エンジニアリング,1022,3600.0,2019-05-20T23:05:33+09:00,2019-05-20T23:22:35+09:00,#3750b5
74,60min/AtCoderやる,エンジニアリング,1184,3600.0,2019-05-20T22:45:37+09:00,2019-05-20T23:05:21+09:00,#3750b5
